,cumDailyNsoDeathsByDeathDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,hospitalCases,uniquePeopleTestedBySpecimenDateRollingSum
260,8,49244406,2,0
261,8,49238736,2,0
262,8,49233610,1,0
263,8,49227674,1,0
264,8,49212938,1,0
265,8,49206102,1,0
266,8,49199361,1,0
267,8,49192911,1,0
268,8,49186791,1,0
269,8,49180501,1,0
270,8,49173885,1,0
271,8,49158941,1,0
272,8,49152535,1,0
273,8,49146929,1,0
274,8,49141458,1,0
275,8,49136023,1,0
276,8,49130777,1,0
277,8,49125465,1,0
278,8,49114193,1,0
279,8,49109057,0,0
280,8,49104574,0,0
281,8,49100132,0,0
282,8,49095723,0,0
283,8,49091381,0,0
284,8,49087151,0,0
285,8,49077274,0,0
286,8,49073001,0,0
287,8,49068498,0,0
288,8,49063966,0,0
289,8,49059704,0,0
290,8,49056063,0,0
291,8,49051420,0,0
292,8,49040154,0,0
293,8,49034994,0,0
294,8,49030232,0,0
295,8,49025433,0,0
296,8,49020883,0,0
297,8,49016515,0,0
298,8,49013562,0,0
299,8,49007366,0,0
300,8,49006435,0,0
301,8,49004604,0,0
302,8,48996459,0,0
303,8,48988136,0,0
304,8,48980687,0,0
305,8,48975821,0,0
306,8,48964933,0,0
307,8,48959185,0,0
308,8,48953752,0,0
309,8,48948985,0,0
310,8,48944431,0,0
311,7,48940092,0,0
312,7,48935621,0,0
313,7,48924766,0,0
314,7,48918456,0,0
315,7,48912709,0,0
316,7,48906898,0,0
317,7,48901415,0,0
318,7,48896383,0,0
319,7,48890829,0,0
320,7,48878101,0,0
321,7,48871292,0,0
322,7,48864165,1,0
323,7,48856701,1,0
324,7,48849475,1,0
325,7,48842522,1,0
326,7,48835080,1,0
327,7,48819473,1,0
328,7,48810655,1,0
329,7,48802733,1,0
330,7,48794682,1,0
331,7,48787472,1,0
332,7,48785179,1,0
333,7,48779265,1,0
334,7,48764119,1,0
335,7,48755159,1,1
336,7,48746471,1,1
337,7,48738340,1,1
338,7,48731235,1,1
339,7,48723660,1,1
340,7,48715065,1,1
341,7,48698192,1,1
342,7,48687057,2,0
343,7,48676823,2,0
344,7,48666040,2,0
345,7,48655033,2,0
346,7,48651690,2,1
347,7,48649407,2,1
348,7,48638111,2,1
349,7,48632835,2,1
350,7,48620451,2,1
351,7,48608048,2,1
352,7,48597053,2,1
353,7,48585622,2,1
354,7,48576970,2,1
355,7,48560448,2,1
356,7,48549523,2,1
357,7,48539337,2,1
358,7,48529602,2,1
359,7,48520307,2,2
360,7,48510775,2,2
361,7,48502000,2,2
362,7,48485502,2,2
363,7,48474383,2,2
364,7,48461806,2,2
365,7,48449530,2,2
366,7,48438384,2,2
367,7,48427873,2,2
368,7,48420011,2,2
369,7,48401096,2,2
370,7,48387564,2,2
371,7,48376057,2,2
372,7,48363386,2,2
373,7,48352062,1,2
374,7,48340291,1,2
375,7,48330659,1,2
376,7,48311515,1,2
377,7,48296533,1,2
378,7,48282659,1,2
379,7,48268544,1,2
380,7,48254798,1,2
381,7,48242212,1,2
382,7,48230141,1,2
383,7,48209311,1,2
384,7,48194832,1,2
385,7,48179855,1,2
386,7,48165295,1,2
387,7,48151433,1,2
388,7,48138894,1,2
389,7,48129288,1,2
390,7,48110573,1,2
391,7,48094977,1,2
392,7,48079671,1,2
393,7,48065843,1,2
394,7,48051314,1,2
395,7,48037452,1,2
396,7,48027171,1,2
397,7,48007467,1,2
398,7,47991813,1,2
399,7,47977054,1,2
400,7,47960368,1,2
401,7,47943809,1,2
402,7,47929803,1,2
403,7,47919924,1,3
404,7,47899490,1,3
405,7,47886393,1,3
406,6,47865205,1,3
407,6,47844346,1,3
408,6,47824843,1,4
409,6,47808134,1,4
410,6,47795049,1,4
411,6,47768996,1,4
412,6,47742874,1,4
413,6,47717391,1,4
414,6,47693130,1,4
415,6,47669573,1,4
416,6,47647171,1,4
417,6,47631676,1,4
418,6,47603460,1,4
419,6,47577899,1,4
420,6,47551565,1,5
421,6,47525835,1,5
422,6,47500226,1,5
423,6,47477366,1,5
424,6,47450092,1,5
425,6,47409448,1,5
426,6,47375662,1,5
427,6,47346050,2,5
428,6,47315803,2,5
429,6,47287709,2,5
430,6,47257885,2,5
431,6,47227711,2,5
432,6,47180401,2,5
433,6,47146618,2,5
434,6,47115421,2,5
435,6,47086173,2,5
436,6,47057865,2,5
437,6,47031976,2,6
438,6,46995489,2,6
439,6,46937664,2,6
440,6,46907497,2,6
441,6,46875609,2,7
442,6,46845125,2,8
443,6,46817584,2,10
444,6,46791720,2,10
445,6,46760828,2,10
446,6,46708536,2,10
447,6,46674069,2,10
448,6,46640370,2,10
449,6,46601598,2,10
450,6,46560222,2,10
451,6,46531398,1,10
452,6,46515123,1,8
453,6,46512714,1,8
454,6,46492220,1,8
455,6,46449512,1,8
456,6,46406601,1,7
457,6,46377898,1,8
458,6,46355576,1,8
459,6,46353860,0,10
460,6,46353488,0,10
461,6,46340850,0,10
462,6,46299992,0,10
463,6,46250028,0,10
464,6,46198963,0,10
465,6,46152096,0,10
466,6,46111230,0,10
467,6,46064964,0,10
468,6,46024490,0,10
469,6,45983498,0,8
470,6,45944989,0,8
471,6,45909984,0,8
472,6,45880910,0,8
473,6,45850300,0,8
474,6,45809802,0,8
475,6,45777326,0,8
476,6,45743322,0,8
477,6,45713469,0,8
478,6,45686416,0,8
479,6,45662083,0,8
480,5,45635213,0,8
481,5,45593726,0,7
482,5,45562352,0,7
483,5,45530423,0,7
484,5,45496407,0,7
485,5,45464385,0,7
486,5,45437647,0,7
487,5,45408979,0,7
488,5,45371155,0,7
489,5,45344959,0,6
490,5,45320026,0,6
491,5,45296360,0,6
492,5,45274292,0,6
493,5,45256693,0,6
494,5,45242256,0,6
495,5,45215590,0,6
496,5,45194392,0,6
497,5,45174214,0,6
498,5,45152308,0,6
499,5,45133177,1,6
500,5,45115726,0,6
501,5,45099992,0,6
502,5,45073294,0,6
503,5,45051945,1,6
504,5,45029356,1,6
505,5,45005974,1,6
506,5,44985903,1,6
507,5,44966722,1,6
508,5,44952118,1,6
509,5,44925485,1,6
510,5,44903382,1,6
511,5,44884336,1,6
512,5,44864319,1,6
513,5,44845346,1,6
514,5,44827188,1,6
515,5,44813324,1,6
516,5,44787314,1,6
517,5,44765449,1,6
518,5,44743092,1,6
519,5,44719791,1,7
520,5,44697690,1,7
521,5,44677505,0,7
522,5,44659260,0,7
523,5,44626958,0,7
524,5,44601347,0,7
525,5,44575834,0,7
526,5,44550209,0,7
527,5,44526172,0,7
528,5,44502817,0,7
529,5,44480551,0,7
530,5,44442454,0,7
531,5,44412947,0,7
532,5,44385938,0,7
533,5,44358974,0,7
534,5,44332678,0,7
535,5,44307137,0,7
536,5,44284645,0,7
537,5,44247064,0,7
538,5,44216972,0,7
539,5,44187710,0,7
540,5,44158213,0,7
541,5,44130310,0,7
542,5,44103094,0,7
543,5,44081019,0,7
544,5,44044211,0,7
545,5,44012184,0,7
546,5,43976870,0,7
547,5,43942056,0,7
548,5,43908821,0,7
549,5,43876524,0,7
550,5,43850003,0,7
551,5,43800714,0,7
552,5,43757239,0,7
553,5,43710674,0,7
554,5,43666511,0,7
555,5,43623626,0,6
556,5,43577867,0,6
557,5,43542376,0,6
558,5,43468006,0,6
559,5,43407419,0,6
560,5,43343598,0,6
561,5,43281330,0,6
562,5,43219814,0,6
563,5,43160634,0,6
564,5,43108903,0,6
565,5,43007534,0,6
566,5,42915546,0,6
567,4,42817926,0,6
568,4,42729980,0,6
569,4,42647649,0,6
570,4,42567972,0,6
571,4,42494814,0,6
572,4,42363411,0,6
573,4,42251378,0,6
574,4,42132914,0,6
575,4,42019297,0,6
576,4,41899757,0,5
577,4,41834053,0,6
578,4,41753483,0,6
579,4,41617246,0,6
580,4,41484517,0,6
581,4,41339039,0,6
582,4,41192456,0,6
583,4,41046649,0,6
